,app,content,score,at
427,HBL,1 year ki statement nahi hoti Iske andar meezan Bank Mein 1 year statement meezan Bank andar best,1,2025-07-08 18:14:28
428,HBL,This App Interface Is Very Bad. This App Deserve 1 Star Because The App Does Not Scan Fingerprints while Creating Account on Hbl App. While OTP System Is Very Worst. The OTP Is Received But I Am Unable To Enter OTP. Because HBL App Does Not Support Keyboard.,1,2025-07-08 17:17:07
429,HBL,"You can't insert the OTP as the keypad doesn't open. It's been more than one year since the review above, it still doesn't work.",1,2025-07-08 16:11:36
430,HBL,Very Poor,1,2025-07-08 16:01:32
431,HBL,thanx HBL,5,2025-07-08 10:07:34
432,HBL,good,5,2025-07-08 06:27:11
433,HBL,fast app,5,2025-07-08 06:24:17
434,HBL,Best application for mobile banking,5,2025-07-08 00:47:53
435,HBL,very nice,5,2025-07-07 23:01:17
436,HBL,extra fine with thanks,5,2025-07-07 21:18:29
437,HBL,I am overseas Pakistan HBL blocked My Mrs account and now they asking for source of income. I provide them iaqma visa and passport copy. But when she ask for account they are coming up with new requirements. Can someone guid it’s a crime if wife is getting money from husband,1,2025-07-07 18:55:33
438,HBL,"WORST BANK, WORST SERVICES, NO CUSTOMER SUPPORT..",1,2025-07-07 18:39:27
439,HBL,good,5,2025-07-07 16:27:08
440,HBL,day 5 my problem still unsolved I am sending Rs 33402 amount by hbl mobile app still stuck mo action in this issue so sad,1,2025-07-07 14:50:06
441,HBL,Wonderful application,5,2025-07-07 14:09:17
442,HBL,The app works fine but it does not let you enter a persons name more the 15 characters and when you try to launch a compliant about the facing issue all of the staff at any branch and the appointed Konnect Agents do not listen to the customer and turned rude.,1,2025-07-07 13:22:11
443,HBL,HBL is the best and useful app,5,2025-07-07 11:01:40
444,HBL,"App is not working on android 15 with redmi note 14 pro, it always gives location permission issue even when all the permissions are granted. it's app bug I think, kindly look and resolve issue.",1,2025-07-07 10:38:38
445,HBL,good,5,2025-07-07 05:35:51
446,HBL,worst application atleast spend some money on application Q/A testing. cannot add OTP for sign in at all i.e If i press to click to enter OTP keyboard does not come up. Also on my iPhone which unfortunately I upgraded to IOS26 beta this application does not work. I'm planning to switch to another bank because of this buggy application,1,2025-07-07 02:38:31
447,HBL,please update my app,5,2025-07-07 01:56:01
448,HBL,good app 👍,2,2025-07-07 01:32:06
449,HBL,❣️❣️,5,2025-07-07 01:30:25
450,HBL,nice 👍,5,2025-07-06 18:35:57
451,HBL,How to get Account Statement of 1 year using HBL App?,1,2025-07-06 14:53:08
452,HBL,Not a very responsive App further we can not see statement of account older then 3 months other banks provide option to download statement since date of opening of account,1,2025-07-06 14:21:45
453,HBL,good,5,2025-07-06 08:18:46
454,HBL,🙂‍↔️ good 👍👍👍👍👍😊,5,2025-07-06 00:37:28
455,HBL,"very slow after last update,tooks long during login",1,2025-07-06 00:16:17
456,HBL,it's really slow to process mobile recharge q,3,2025-07-05 23:48:45
457,HBL,nice,5,2025-07-05 23:32:12
458,HBL,"""I've noticed that whenever I try to send an amount larger than my normal routine, my bank frequently declines the transaction without clear justification, displaying vague errors. Please help me resolve this issue.""",5,2025-07-05 23:23:18
459,HBL,As a mobile App developer i appreciate your work and app UI and also UX.but something like in device management if i want to login in some Samsung devices so they are not logged in my account and show something like try after that time but after passing the time still showed same it is good for security but if our mobile phone are lost so how we open this. inshort add button for manual device adding like that but also your app is good,5,2025-07-05 23:13:01
460,HBL,"as a bank, their online services r pathetic, and I give them zero ranking. whenever I wanted to talk to their customer service, there is just wait n wait n wait of half an hour, they just wait n stupid dear customer recorded voice again n again, but customer service don't entertain u. very pathetic customer service helpline.",1,2025-07-05 22:32:54
461,HBL,good well,5,2025-07-05 21:57:30
462,HBL,"Pathetic, 3rd class & sub standard services being provided by the bank administration. Despite visiting 2 x different branches for biometric verification & calling & talking multiple times to the customer care center representative through registered mobile number, I'm still unable to access & use the Inet banking application. All the procedure & instructions followed. In-app biometric verification carried out, Application deleted & re-downloaded but still facing the same prob since last 3 days.",1,2025-07-05 17:00:46
463,HBL,Good App and easy work,5,2025-07-05 16:53:51
464,HBL,too much hidden charges. worst bank ever,1,2025-07-05 16:33:39
465,HBL,okay,5,2025-07-05 06:28:16
466,HBL,not good,2,2025-07-04 22:54:18
467,HBL,does not work,1,2025-07-04 20:27:30
468,HBL,"hello, there is no landscape capability in app any more, i can not enter my password or OTP in my mobile. The app does not offer landscape view in Android, could you fix and confirm",1,2025-07-04 20:08:20
469,HBL,Bhota hi Bakwas bank very bad bank HBL ALLAH ki qasam SA customer care wala call pick hi nhi Karta,1,2025-07-04 19:07:16
470,HBL,opt ka option pa click hi nahi hota or nahi hi keyboard appear ho Raha hai last year bhi uahi issues tha is app ka use less kindly is bug ko thek Kara,1,2025-07-04 16:57:17
471,HBL,"I am Imran khan ,your long-time customer, and I have been using your services for a long time. Recently, I traveled out of the country, specifically to uae, and while I have changed my phone, I have been facing an issue with Forgotten Login ID 2. Not receiving SMS notifications or OTPs on my registered mobile numberfor quite some time. It is not working, and I have tried more than fifty times, but it is still not working. Kindly resolve this issue, as I have a",1,2025-07-04 16:05:25
472,HBL,good,5,2025-07-04 13:00:35
473,HBL,I want to change my mobile num buz mri sim ghume ho gie hai how can I log in,1,2025-07-04 12:11:33
474,HBL,"not working at all, cannot sign up, no tutorial videos available.. error occurs every time I try to sign up.. what is the use of this app?",1,2025-07-04 12:01:15
475,HBL,nice app,5,2025-07-04 11:32:52
476,HBL,Overall app is good but the auto OTP entering option is not good because when we receive an OTP in our email id we are unable to enter that OTP as the app is not allowing us to do so. That is keyboard is not appearing on the screen. Need to resolve this matter.,4,2025-07-04 11:15:53
477,HBL,"when i am trying to sign up to the app it shows an error, i have tried many time but its not working",1,2025-07-04 10:41:52
478,HBL,Bussiness account,4,2025-07-04 07:18:21
479,HBL,app is not working from yesterday,1,2025-07-04 06:49:57
480,HBL,excellent work... good jobs.... good app,5,2025-07-04 04:57:30
481,HBL,kindly check why HBL app tell me always download HBL Mobil app from goggles play store,1,2025-07-04 03:40:24
482,HBL,not compatible ka option aa Raha hai ab Mai kaisay use karu app update he nahi ho Rahi na open horahi hai 😞,1,2025-07-04 02:30:03
483,HBL,"Unable to use the app on new phone. The otp field isn't opening the keyboard, and there seems to be no way to enter the otp code on my samsung s24+. I am stuck at the device registration popup.",2,2025-07-04 01:22:55
484,HBL,uys اپپس فور slary,5,2025-07-03 22:17:30
485,HBL,this is very helpful app,5,2025-07-03 21:52:32
486,HBL,why it is not compatible with my phone.,1,2025-07-03 20:56:02
487,HBL,very bad service 😞,2,2025-07-03 20:53:54
488,HBL,every time irritated loan notification showing very disappointed,1,2025-07-03 20:16:35
489,HBL,سالوں سے ایپ استعمال کررہا ہوں کبھی کوئی پریشانی نہیں آئی۔ اللہ تعالیٰ سے دعا ہے کہ آئندہ بھی تمام آنے والی پریشانیوں سے محفوظ رکھے۔ حبیب بنک کےلئے دعا گو ہوں کہ اللّٰہ تعالیٰ دن دگنی اور رات چوگنی ترقی عطا فرمائے۔ آمین یارب العالمین💯👍,5,2025-07-03 19:08:06
490,HBL,very good #1 bank of Pakistan,5,2025-07-03 17:54:17
491,HBL,I have no option for credit card apply,2,2025-07-03 17:04:54
492,HBL,"no information for indomitable device. used this device less than one month ago was working,now it became incompatible without any notice or without any information",1,2025-07-03 16:23:36
493,HBL,"Third-class app, third-class services, third-class customer support, sitting fat and happy on my mobile package money for a month. Utility bills on the app? Still stuck in the stone age, never updated. Phone banking? Just robots chilling, masters at confusing people and wasting time, not fixing anything. And yeah, they make you wait 20 minutes for this circus! pathetic",1,2025-07-03 15:42:46
494,HBL,good,5,2025-07-03 14:46:31
495,HBL,glitch in your please review your HBL app,1,2025-07-03 13:53:05
496,HBL,apps is not working properly due to sagges,5,2025-07-03 13:45:53
497,HBL,good experience but app is not opend,5,2025-07-03 13:07:23
498,HBL,"Mostly, this works perfectly fine, but from yesterday, there were some glitches that didn't let me perform any transaction or anything via app.",3,2025-07-03 09:37:13
499,HBL,good service 💯💯💯,5,2025-07-03 08:08:19
500,HBL,slow loading,2,2025-07-03 00:55:11
501,HBL,nice app,5,2025-07-02 23:54:15
502,HBL,"inteha se ziyada ghattaya banking app, hai. open kartay hi sab se pehle kehte hai bheek lelo loan le le aur jab no ka option select karo to hang ho jati hai",1,2025-07-02 23:04:30
503,HBL,it's an use less bank,1,2025-07-02 22:24:18
504,HBL,outstanding performance of the app and is easy way to spread joy in family. and i am very pleased to have this app,3,2025-07-02 22:06:18
505,HBL,good experience while using this app,3,2025-07-02 21:42:11
506,HBL,bad app,2,2025-07-02 20:43:13
507,HBL,its not installing on my phone Samsung C7. Kindly look into this issue,1,2025-07-02 20:35:55
508,HBL,good,3,2025-07-02 19:23:00
509,HBL,This is useles bank. zero performance,1,2025-07-02 17:47:07
510,HBL,good,5,2025-07-02 17:39:34
511,HBL,very good,3,2025-07-02 17:35:28
512,HBL,ya app bohat zabardast h is ki wja Sy bohat asani hoti h money transfer krny main ya bohat faydymand h,5,2025-07-02 17:25:56
513,HBL,performance very poor,1,2025-07-02 16:38:07
514,HBL,good👍,5,2025-07-02 16:30:13
515,HBL,It's a good application for banking,5,2025-07-02 15:26:53
516,HBL,I'm very honest in my reviews...This app is too much helpful,5,2025-07-02 14:23:04
517,HBL,excellent,5,2025-07-02 12:46:56
518,HBL,very useful and beneficial app 😍😍,5,2025-07-02 12:03:19
519,HBL,Very nice I like it very much,5,2025-07-02 11:19:08
520,HBL,"i am facing a transaction issue, I have complained many times but not resolved.",1,2025-07-02 11:16:18
521,HBL,it's a good banking a system life so easy with hbl,5,2025-07-02 11:09:31
522,HBL,hbl app s very valuable and easy to use,5,2025-07-02 10:59:25
523,HBL,nicw,5,2025-07-02 10:59:08
524,HBL,good,5,2025-07-02 10:28:02
525,HBL,good app,5,2025-07-02 10:20:18
526,HBL,while using it was good experience,5,2025-07-02 10:18:48
527,HBL,good,3,2025-07-02 09:26:13
528,HBL,soo good,5,2025-07-02 08:52:29
529,HBL,Call Center Customer support experience is very bad App experience is good unable to download statements for a year only last two months option is available no date range option,2,2025-07-02 08:34:27
530,HBL,apps mi mobile mi instal nhihorhee,5,2025-07-02 08:34:11
531,HBL,Good,4,2025-07-02 08:25:28
532,HBL,good,5,2025-07-02 08:13:10
533,HBL,"I got message that ,,this app is not compatible with this device contact developers,, how ever i am using this app since long time at this noble. please solve the problem.",4,2025-07-02 06:56:24
534,HBL,"App is good but the bank services is totally unacceptable. Here salary is available 2 or 3 days late then the other banks in the area in d.i.khan. Hbl , d.i.khan branch ,in pakistan is the laziest branch⛱️⛱️⛱️⛱️ . It won't pay you in time. Start of everymonth the same drama repeats .",5,2025-07-02 05:28:17
535,HBL,hi my app isn't working jub be log in karate it says service is not available 🤬 wait 2hr 4 din se,1,2025-07-02 04:23:08
536,HBL,i have oppo A 57 and hbl mobile app is not being down load in mobile plz share how can i download it,5,2025-07-02 02:44:22
537,HBL,you should allow using the app even if it's not updated,5,2025-07-02 02:30:37
538,HBL,Very bad,2,2025-07-02 00:59:34
539,HBL,Good work is mobile app account complete verification biometric sab is app Good for good help.,5,2025-07-02 00:26:03
540,HBL,it should work in old version as well۔۔۔HBL app is not being updated nor being working,2,2025-07-01 23:30:52
541,HBL,"Forces you to turn on notifications, otherwise you can't login. And when you turn notifications on, it starts spamming you with ads and promotions. App is fine otherwise, but this forced notifications thing is nonsense.",1,2025-07-01 22:33:13
542,HBL,it's not work?,2,2025-07-01 22:29:37
543,HBL,Good,5,2025-07-01 22:22:34
544,HBL,Excellent,5,2025-07-01 22:18:48
545,HBL,Very very help full for me,5,2025-07-01 22:03:24
546,HBL,👍,5,2025-07-01 21:45:07
547,HBL,"fine, screen shots issue",1,2025-07-01 20:38:45
548,HBL,Excellent,5,2025-07-01 19:43:58
549,HBL,good,5,2025-07-01 19:38:22
550,HBL,not working,1,2025-07-01 19:15:07
551,HBL,good service of HBL. Ok thanks,4,2025-07-01 19:02:18
552,HBL,ok good app,5,2025-07-01 19:01:01
553,HBL,"The digital banking options make everything so convenient. Truly a reliable and customer-friendly bank. Highly recommended!""",5,2025-07-01 18:58:21
554,HBL,Did not showing on my hbl app feature car loan personal loan and credit card they didn't work on proper not showing any one feature only sms are coming from hbl bank and physicaly not appearing feature on hbl application kindly solve my issue,1,2025-07-01 18:34:24
555,HBL,service excellent,5,2025-07-01 18:22:49
556,HBL,Best servuces.,5,2025-07-01 18:21:07
557,HBL,so easy and useful my experience with this app is so soothing.I found it so easy and useful.I feel my banking in my hand every thing about banking is in my pocket. so nice.,5,2025-07-01 17:41:00
558,HBL,"HBL is a most comfortable and convenient and helpful bank, I always prefer this.",5,2025-07-01 16:17:27
559,HBL,"Asslam o alikum, it's a fantastic job done by the developer, but still need new features like online transaction limit changing feature etc.",4,2025-07-01 15:44:30
560,HBL,UI is too much 👎,1,2025-07-01 15:42:57
561,HBL,Good experience,4,2025-07-01 15:42:15
562,HBL,worst banking ever,1,2025-07-01 15:32:47
563,HBL,too much problems here not recommended,1,2025-07-01 15:20:07
564,HBL,good,5,2025-07-01 15:19:27
565,HBL,good,1,2025-07-01 14:42:24
566,HBL,It's very helpful and easy to use.,5,2025-07-01 14:22:22
567,HBL,excellent 👌,5,2025-07-01 14:15:32
568,HBL,Very nice n Confidential aap👍,5,2025-07-01 14:14:25
569,HBL,Good,5,2025-07-01 14:06:57
570,HBL,"This is the worst Pakistani Banking Application provided by none other than the largest Bank of Pakistan. 6 out of 10 times your transaction won't get through because of some stupid reason at their end. Ironically they won't even give you any reason or accept their fault but rather put a blame on you with their universal reason ""insufficient balance or a special condition marked on your account"". And I'm talking about HBL prestige which is supposedly their premium banking experience.",1,2025-07-01 13:33:04
571,HBL,app rarely works,1,2025-07-01 13:18:03
572,HBL,I think you must give an option to update our email on this app. It requires to visit to branch.,5,2025-07-01 12:49:03
573,HBL,it's a goooood aaap,5,2025-07-01 12:29:43
574,HBL,good,5,2025-07-01 12:25:02
575,HBL,poor performance and complaints system. here a c holder is unable to complain about his problem. it just mentioned list of issue which is just .....,1,2025-07-01 12:09:49
576,HBL,سرجب میں ایپ اوین کرتا ہوں تو فورا آجاتا ہے کہ آپ اولڈ ورجن استعمال کر رہے ہے حالانکہ میں نے دو دفعہ نیوورجن 2025 ڈاؤن لوڈ کر دیا۔ پھر بھی نہیں کھولتا۔ اب میں کیا کروں تھک گیا ہوں,4,2025-07-01 11:36:35
577,HBL,very excellent service,5,2025-07-01 11:24:37
578,HBL,good very good,5,2025-07-01 11:24:33
579,HBL,Easy to use,4,2025-07-01 11:18:44
580,HBL,nice,5,2025-07-01 11:11:38
581,HBL,Excellent,5,2025-07-01 10:39:59
582,HBL,"Best part was the first time verification, have never seen any bank doing it in a blink of an eye, hats off HBL certainly comes on top if we're specifically talking about account verification (first time login)",5,2025-07-01 10:27:51
583,HBL,good,5,2025-07-01 10:21:42
584,HBL,This aap is too much helpful and secure also helps to more secure our personal information.,5,2025-07-01 10:12:03
585,HBL,says not compatible with your device why???? why should I buy a new mobile for just use this aap i dont have budget you should make it run on any touch Mobile otherwise 👋👊,1,2025-07-01 09:28:58
586,HBL,excellent,5,2025-07-01 08:25:49
587,HBL,perfect,4,2025-07-01 07:45:01
588,HBL,AJ mujh ko 6 month ho gye Hain complaint krvaye lakin meri complaint solve nhi hui. kya Hbl bank bhi ab Baki mehkmon ki trha bad service de rha ha?,1,2025-07-01 07:13:41
589,HBL,Good,5,2025-07-01 07:10:51
590,HBL,very nice app. im using along time.,5,2025-07-01 04:35:46
591,HBL,Fast transaction with instant Email. Recommended,5,2025-07-01 03:27:29
592,HBL,Good app,5,2025-07-01 00:41:42
593,HBL,the automatic otp is not working for me i have tried everything mentioned in help section but still stuck. I have to wait for get a call action to appear then i can add otp manually. Because of this i don't use hbl bank anymore. If the automatic otp doesn't work then you should at least give the user any option to enter otp manually,1,2025-07-01 00:10:25
594,HBL,very good,5,2025-07-01 00:09:49
595,HBL,nice app,5,2025-07-01 00:07:10
596,HBL,Good App,5,2025-06-30 23:58:43
597,HBL,good,5,2025-06-30 23:23:28
598,HBL,when came new update then message show on screen. the app no longer compatible with your device. plz solve the problem Emmidetally or contact the developer for more info. so I can't use Hbl app now.,2,2025-06-30 23:16:27
599,HBL,"Online banking is a very good way, we get to do all of us, so that we are to do everything online with this. This makes us and many work easier Online SSC Online transactions are also done, all our work goes very easily. There is too much poetry Thank you so much SBL Banking I liked you, your banks go to do all my work while doing it. Thank you so much If no one wants to open an account of a bank, then I will be able to do Ali further and this makes me very easy to feed Ding Dang Thanks Thank yo",5,2025-06-30 23:02:32
600,HBL,The App is not working well. Before ending a transaction it logs out.,2,2025-06-30 22:20:46
601,HBL,good,5,2025-06-30 21:52:56
602,HBL,good,5,2025-06-30 21:44:27
603,HBL,app is not working in android version 15 even in iPhone iso 26.0,1,2025-06-30 21:20:09
604,HBL,Everything error,1,2025-06-30 20:43:26
605,HBL,best app,5,2025-06-30 20:25:04
606,HBL,very good app for hbl users,5,2025-06-30 19:44:14
607,HBL,Good app,1,2025-06-30 19:24:47
608,HBL,"Best banking service and app , I've been ever used.",5,2025-06-30 19:21:32
609,HBL,good,5,2025-06-30 18:56:51
610,HBL,Good,3,2025-06-30 18:10:14
611,HBL,i feel better,5,2025-06-30 18:04:40
612,HBL,good,5,2025-06-30 18:04:21
613,HBL,stop excessive promotional/advertising notifications through the app.,1,2025-06-30 17:54:07
614,HBL,Makes it easy to full fill needs regarding to money,3,2025-06-30 17:23:13
615,HBL,Excellent,5,2025-06-30 17:12:20
616,HBL,"this application is too good but must be an option in the application when we open the hbl digital application the balance must be hidden in stars. sometimes when we open it some friends and people around us, which we don't want to show them our remaining balance. if you add this option i will give you 5 stars.",4,2025-06-30 16:44:41
617,HBL,Exelent Exelent,5,2025-06-30 16:07:52
618,HBL,"latest version men credit card ka bill pay kr dia jo ke show ni ho hota, isi tara credit or debit fori update ni hota,app men faults hen kafi",3,2025-06-30 16:06:10
619,HBL,My HBL app cant working in my phone. what is the problem.,1,2025-06-30 15:05:36
620,HBL,My Account title name has been changed automatically what to do now? I have seen all the options but there is no option to change account title name 😔,3,2025-06-30 14:47:37
621,HBL,good,4,2025-06-30 14:27:56
622,HBL,very good,5,2025-06-30 14:09:51
623,HBL,good,4,2025-06-30 12:44:22
624,HBL,The App is user friendly and easy to use.,5,2025-06-30 12:19:18
625,HBL,worst,1,2025-06-30 10:56:30
626,HBL,why does main screen amount disappear on login again and again??,4,2025-06-30 10:39:30
627,HBL,good,5,2025-06-30 10:34:44
628,HBL,fine app,5,2025-06-30 10:00:22
629,HBL,good appreciate,5,2025-06-30 09:54:42
630,HBL,it should be available on old phone. like android 6 version supported mobile.,5,2025-06-30 09:50:32
631,HBL,bad bad service ak dam bkwas h do do ghnta app.hi open ni hoti app open ho jaye to phr do ghnta pase transfer ni hota,1,2025-06-30 09:19:16
632,HBL,Appriciate,5,2025-06-30 09:17:57
633,HBL,this aap is very good for us,1,2025-06-30 08:54:07
634,HBL,best app,5,2025-06-30 08:06:30
635,HBL,HBL mobile app is very easy and helpful for everyone. It have very advance feature .,5,2025-06-30 07:19:17
636,HBL,great,5,2025-06-30 04:53:29
637,HBL,excellent,5,2025-06-30 01:48:15
638,HBL,good service,5,2025-06-30 01:02:12
639,HBL,very good app,5,2025-06-30 00:06:53
640,HBL,excellent,5,2025-06-29 23:34:58
641,HBL,good,5,2025-06-29 23:20:31
642,HBL,nice,5,2025-06-29 22:54:13
643,HBL,i like this ap it help me to send money to my family thanks hbl,5,2025-06-29 22:30:37
644,HBL,This app is so heplful and easy way,5,2025-06-29 22:25:28
645,HBL,Good,5,2025-06-29 21:32:32
646,HBL,excellent,5,2025-06-29 21:22:34
647,HBL,I still waiting for tha update i have i phone  i just update tha device than hbl mobile app is not working,5,2025-06-29 21:12:39
648,HBL,excellent experience but now it not working in this device why. I need it,5,2025-06-29 21:05:00
649,HBL,the app needs an option for forgotten or replacing signature. thanks,5,2025-06-29 20:55:39
650,HBL,nice,5,2025-06-29 20:52:43
651,HBL,very very useful app,5,2025-06-29 20:43:25
652,HBL,good 👍,5,2025-06-29 20:00:03
653,HBL,this time experience is not good,1,2025-06-29 19:32:03
654,HBL,"Fingerprints are being recognized, i tried multiple times ... I tried on other phones it is getting done but not on my phone.",1,2025-06-29 19:20:56
655,HBL,good,5,2025-06-29 18:43:16
656,HBL,latest virgon update har 4 din din ata ha,5,2025-06-29 18:27:14
657,HBL,HBL mobile app is very comfortable and user friendly...,5,2025-06-29 18:19:32
658,HBL,good,3,2025-06-29 17:45:07
659,HBL,I am satisfied with this app. I am using a Tecno device.,5,2025-06-29 17:36:24
660,HBL,I prefer to use app rather than visit a branch,5,2025-06-29 17:07:16
661,HBL,good,5,2025-06-29 17:05:06
662,HBL,easy to use and helpful for pay Utility Bills & many more,5,2025-06-29 17:00:57
663,HBL,app working is good,4,2025-06-29 16:42:36
664,HBL,great service,5,2025-06-29 15:54:52
665,HBL,This has got to be the worst investment by the bank. People have been highlighting the bugs they have for years in forums and they still exist. You cannot login or re seer password without calling them. So much for online service.,1,2025-06-29 15:32:10
666,HBL,bakwass app,1,2025-06-29 14:48:02
667,HBL,very good,5,2025-06-29 14:29:09
668,HBL,very good,5,2025-06-29 13:51:17
669,HBL,good apps,5,2025-06-29 12:37:07
670,HBL,😞,2,2025-06-29 12:36:54
671,HBL,it's good,4,2025-06-29 12:23:01
672,HBL,I face a strange option after log-in my balance not showing,1,2025-06-29 12:14:05
673,HBL,good 👍,5,2025-06-29 11:19:32
674,HBL,good,5,2025-06-29 11:00:39
675,HBL,this app so so Good for digital banking but last 10 I am facing a problem that I am living in saudi arabia and I changed my device and now HBL biometric verification is not verifying I called help line number many times and I also complain on Mail but still my problem is surfing,5,2025-06-29 10:56:49
676,HBL,please add QR payment option payment send via QR through Credit Card,4,2025-06-29 10:25:17
677,HBL,Excellent,5,2025-06-29 10:14:16
678,HBL,kamal he ya,5,2025-06-29 08:11:02
679,HBL,ماشاءاللہ قوۃ الا باللہ,5,2025-06-29 06:46:46
680,HBL,this app is very useful for me,5,2025-06-29 04:19:20
681,HBL,good experience,5,2025-06-29 00:27:20
682,HBL,"Huge red flag is its **AED 40 foreign remittance fee for RDA** This is an outrageous charge when most other banks offer similar services for for free. For anyone receiving money , this fee makes the app completely uncompetitive and costly. Until they drop this excessive fee",1,2025-06-28 23:20:34
683,HBL,good,5,2025-06-28 23:06:26
684,HBL,bad experience staff is unexpecienced in chakwal branch after 20year I closed the account,1,2025-06-28 22:57:17
685,HBL,Best application and friendly use.,5,2025-06-28 22:56:52
686,HBL,Encouraging you with 5 star. I hope you will add a statement option of more than 2 months soon.,5,2025-06-28 21:04:37
687,HBL,Best banking app thank you🌸🌸🌸🌸🌸 best bank,5,2025-06-28 20:48:46
688,HBL,The newly released updated version of HBL Mobile is not compatible with my device OPPO F3. What a shame. I can't open my account on mobile.,1,2025-06-28 20:39:41
689,HBL,good service,5,2025-06-28 20:12:34
690,HBL,good and impressive,5,2025-06-28 19:23:46
691,HBL,good app hbl,4,2025-06-28 18:16:23
692,HBL,Large Services but not good,5,2025-06-28 18:06:28
693,HBL,good,5,2025-06-28 17:32:03
694,HBL,excellent,5,2025-06-28 17:15:11
695,HBL,Good work,5,2025-06-28 17:11:20
696,HBL,After New update this app is no longer compatible with your device. solve plz.,1,2025-06-28 17:08:36
697,HBL,HBL is best,5,2025-06-28 16:46:06
698,HBL,well services 👍,5,2025-06-28 16:29:05
699,HBL,Good,5,2025-06-28 16:16:56
700,HBL,best,4,2025-06-28 15:33:08
701,HBL,please update my this app thanks,3,2025-06-28 15:31:15
702,HBL,i wish i could refresh my hbl card from here but its very helpful and friendly aap.....simple and easy to use,4,2025-06-28 15:29:08
703,HBL,best app for all the transactions and best user interface,5,2025-06-28 15:12:04
704,HBL,This app is great useful and highly security,5,2025-06-28 15:05:44
705,HBL,very good,5,2025-06-28 14:44:24
706,HBL,best,5,2025-06-28 14:14:00
707,HBL,good app excllent app,5,2025-06-28 14:00:42
708,HBL,very smooth and easy to use,5,2025-06-28 13:32:32
709,HBL,"simple, fast and secure....! Best ever",5,2025-06-28 12:06:09
710,HBL,exceptional services,5,2025-06-28 11:35:26
711,HBL,"this is the worst bank I have ever experienced, I have changed the mobile phone , now the App is not working in both mobiles. despite i have called the bank at least ten times. do not open an account plz.",1,2025-06-28 11:12:50
712,HBL,Why my avialble balance is negative and current balance is positive? I have union pay debit card.,5,2025-06-28 10:45:11
713,HBL,This version is not supported in old version of mobile phone android 7,1,2025-06-28 10:42:50
714,HBL,good app,2,2025-06-28 09:27:46
715,HBL,satisfactory,5,2025-06-28 08:45:11
716,HBL,very good app,5,2025-06-28 07:41:45
717,HBL,nice,5,2025-06-28 05:21:02
718,HBL,very easy and efficient,5,2025-06-28 03:21:50
719,HBL,STOP GIVING ME ADS FOR LOANS EVERY SINGLE TIME I LOGIN. IT IS V ANNOYING. I DONT CARE ABOUT LOANS.,1,2025-06-28 00:37:28
720,HBL,"HBL app has truly transformed digital banking in Pakistan – fast, secure, and user-friendly! Everything from checking my balance to making payments is just a tap away – great job, HBL!",5,2025-06-28 00:24:48
721,HBL,Excellent service,5,2025-06-27 23:48:07
722,HBL,best aap,5,2025-06-27 23:27:32
723,HBL,best,5,2025-06-27 22:59:51
724,HBL,Excellent,5,2025-06-27 22:42:33
725,HBL,good,5,2025-06-27 22:40:40
726,HBL,excellent app for any bill payment...,5,2025-06-27 22:13:01
727,HBL,"Using since the birth of this HBL Mobile app. HBL always leads others in advanced technologies. 10/10 Why is the Face login disabled? On old device I use to open app via face, finger print and at last via password but on new device No face login working. Any update?",5,2025-06-27 21:50:10
728,HBL,It's gets very easy to have transactions on time efficiently.,5,2025-06-27 21:08:16
729,HBL,good,5,2025-06-27 21:07:16
730,HBL,Very Good,4,2025-06-27 21:01:58
731,HBL,this update thing for rating and review is not appreciated,5,2025-06-27 20:35:27
732,HBL,OK,5,2025-06-27 20:26:16
733,HBL,HBL App is best,5,2025-06-27 20:14:44
734,HBL,Good,5,2025-06-27 20:05:03
735,HBL,updated and nice,5,2025-06-27 19:38:13
736,HBL,Good Experience,5,2025-06-27 19:32:12
737,HBL,Good experience 👍,4,2025-06-27 19:17:30
738,HBL,good,5,2025-06-27 19:09:05
739,HBL,Good,5,2025-06-27 19:01:03
740,HBL,Awesome banking,5,2025-06-27 18:28:03
741,HBL,"Good App but now it's not working on my device shown in Playstore as, THIS APP IS NO LONGER COMPATIBLE WITH YOUR DEVICE, KINDLY CONTACT DEVELOPER FOR SUPPORT. You are requested to kindly check and Include support for Android 6, as I m not able to Use BANKING SERVICES OF HBL.",1,2025-06-27 18:13:53
742,HBL,very nice app hai aur HBL je service koi aur nahi de Sakta,5,2025-06-27 18:01:35
743,HBL,good,5,2025-06-27 17:55:33
744,HBL,nice,5,2025-06-27 17:40:48
745,HBL,good view,1,2025-06-27 17:36:47
746,HBL,Excellent,5,2025-06-27 17:26:14
747,HBL,good,3,2025-06-27 17:18:32
748,HBL,it was pleasure to meet with your staff and was very cooperative experience,3,2025-06-27 17:13:28
749,HBL,very bad app.after every two weeks it gets updation,5,2025-06-27 16:48:27
750,HBL,I'm using the since 4 years this app beautiful ❤️,5,2025-06-27 16:37:40
751,HBL,good app,5,2025-06-27 16:24:14
752,HBL,gd app,5,2025-06-27 16:14:04
753,HBL,it's a good and very useful app.i can pay all my bills and tex's at my house from this app,5,2025-06-27 16:13:05
754,HBL,Very good app with easy interface.,5,2025-06-27 16:12:43
755,HBL,good,5,2025-06-27 15:16:58
756,HBL,l am intrested HBL mobile apps 7 year used i am very very happay,3,2025-06-27 15:00:51
757,HBL,ok,5,2025-06-27 14:45:56
758,HBL,good,3,2025-06-27 13:48:21
