content,app,aspects,opinions,sentiments,categories,mapped_categories
baut achi app hae aur baut achi service hae dusrey bankoon ki nisbat,UBL Digital,"['baut achi app', 'buffer achi service']","['NULL', 'NULL']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SERVICE#GENERAL']","['APP#FEATURES', 'BRANCH_SERVICE']"
this app is very good I am Saudi Arabia warkin but this app Saudi Arabia me bhie kame kare Rahe hay this is good app,UBL Digital,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Biometric verification problem,UBL Digital,['Biometric verification'],['problem'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Very usefully really enjoy the ubl digital app,UBL Digital,['ubl digital app'],['enjoy'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
UBL App is great,UBL Digital,['UBL App'],['great'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
ubl account is a peaceful account for business,UBL Digital,['ubl account'],['peaceful'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
ubl banking app is the best and it's users friendly,UBL Digital,['ubl banking app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
its nice 😘,UBL Digital,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
my app isn't working and my id isn't logging in after otp what to do.? and what's product code,UBL Digital,"['app', 'id']","['NULL', 'NULL']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
Very good app but no SIM internet packages,UBL Digital,"['app', 'SIM internet packages']","['good', 'NULL']","['positive', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
worst internet banking services. apps connection with server gets down for hours. without any prior notice. never rely on internet banking.,Al Habib,['internet banking services'],['worst'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
why not opening my mobile app,Al Habib,['mobile app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
I tried registering for the app but it wouldn't let me register because as per them my email id was incorrect despite that email being the only email id I gave to the bank.,Al Habib,['app'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Good app for daily banking. Need to add more payment options for one bill and government fees,Al Habib,['app'],['Good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Ghtiya tareen ap ghtiya tareen bank,Al Habib,['Ghtiya tareen ap ghtiya tareen bank'],['NULL'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
"Horrible user experience, a lot of load time",Al Habib,['user experience'],['Horrible'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Third class app . itne gandi service sy behtr hai bnd kr dain is app ko 😡😡😡,Al Habib,['app'],['Third class'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
You don't get OTP while trying to change the password.,Al Habib,['password'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"After updating this app can't connecting server, and not opening app...",Al Habib,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Log in to my account,Al Habib,['account'],['Log in'],['neutral'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Can't get passed biometric screen! It needs to be resolved,Al Habib,['biometric screen'],"[""Can't get passed""]",['negative'],['DISPLAY#OPERATION_PERFORMANCE'],['SCREEN#ISSUES']
"Worst banking app to ever exist, never works all my transactions are stuck since it doesn't let me login",Al Habib,['banking app'],['Worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Updated on 4 Nov 2024: DO NOT CHOSE THIS BANK. I REPEAT DO NOT. YOU WILL REGRET IT.I swear to God this is the worst banking app on earth everyday a new drama with it in name of security maintainece. Take forever to load and even sending money is hell of. Big deal. If you don't have account plz don't choose this bank.,Al Habib,['banking app'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
This app to much bad on biometric Today I m calling banker officer 5 time but my issue not resolved yet Shameful this bank,Al Habib,"['app', 'bank']","['bad', 'Shameful']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'CUSTOMER_SUPPORT']"
Best number one branch ok pakistan al Habib bank 💖,Al Habib,['pakistan al Habib bank'],['Best'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Very very third class app. Every time app get locked and ask me to visit branch for biometric verification.,Al Habib,['app'],['third class'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
انتہائی گھٹیا ایپ,Al Habib,['NULL'],['NULL'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
I love you ❤️,Al Habib,['NULL'],['love'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Why Top Up option and other options which Nayapay etc provide to their customers is not there. ..,Al Habib,"['Top Up option', 'other options']","['NULL', 'NULL']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
Secure and Simple to use.,Al Habib,['NULL'],['Secure'],['positive'],['LAPTOP#USABILITY'],['APP#USABILITY']
"Worst Banking App. So many bugs and life long maintenances. Unnecessary blocking, lack of upgraded features. Majboor ka naam bs",Al Habib,"['Banking App', 'bugs', 'life long maintenances', 'blocking', 'features']","['Worst', 'Much', 'Unnecessary', 'Unnecessary', 'lack']","['negative', 'negative', 'negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES', 'APP#FEATURES', 'APP#FEATURES', 'APP#FEATURES']"
Very useful and supportive.,Al Habib,['NULL'],['useful'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Vary poorly and I can get some rest today and I can get some rest ☺️ I can get some rest today and I'll come get you tomorrow to you can get it to you tomorrow to see if I can find a pimple ok I'll come get some sleep I love it to you tomorrow morning I can make you tomorrow morning to pick it to me 3 I think it's just wanted you can do that if that is okay sister is okay,Al Habib,['NULL'],['poorly'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Very poor system,Al Habib,['system'],['poor'],['negative'],['OS#GENERAL'],['SYSTEM_UI']
not giving any type of ease... make it better...,Al Habib,['NULL'],['better'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
So slow performance .,Al Habib,['performance'],['slow'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
Very third class app biometric is too hard for scanning purpose this is totally useless app,Al Habib,['app biometric'],['hard'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Pathetic pathetic pathetic poor. Shameful,Al Habib,"['Pathetic', 'pathetic', 'poor']","['Pathetic', 'pathetic', 'poor']","['negative', 'negative', 'negative']","['SERVICE#GENERAL', 'SERVICE#GENERAL', 'SERVICE#GENERAL']","['BRANCH_SERVICE', 'BRANCH_SERVICE', 'BRANCH_SERVICE']"
Worst experience 3rd class banking app,Al Habib,['3rd class banking app'],['Worst experience'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"I am trying to login in iphone 16 Pro, but four finger biometric is not working. Unfortunately, when I called the helpline, it was said that there is a problem with your mobile. They have no other option to login.",Al Habib,"['iphone 16 Pro', 'four finger biometric']","['trying to login', 'not working']","['negative', 'negative']","['LAPTOP#OPERATION_PERFORMANCE', 'HARDWARE#OPERATION_PERFORMANCE']","['DEVICE#PERFORMANCE', 'BIOMETRIC#PERFORMANCE']"
App crashes & not opening either using Wi-Fi or Data,Al Habib,['App'],['crashes'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Crashing while opening,Al Habib,['NULL'],['Crashing'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
This is just ridiculous!! It asks for thousands of verification and information and still not logging in the app!! What is the use of downloading online app when it can't assist you online!!! Very dissatisfied and annoyed with app features!! 😒,Al Habib,['app features'],['dissatisfied'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Not even capable of getting one star. Worst Mobile Banking APP in Pakistan in all means. They have services standards of 1990s lots of delays and wastage of time if you have to reset your password. Pathetic customer service approach.,Al Habib,"['Mobile Banking APP', 'customer service approach']","['Worst', 'pathetic']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'CUSTOMER_SUPPORT']"
One of the worst app ever used. Seems like developed by a very unprofessional and unskilled team who didn't even know how make even the basic functionality work. Logging in is a nightmare and the app don't even work most of the time.,Al Habib,['app'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Why now a day's app opening slowly and progressing slowly dealyling,Al Habib,['app'],['opening slowly'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"Everytime you think they are trying to get better, they come up with a update which ruins everything.",Al Habib,['update'],['ruins everything'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
very 3rd class app sudden crash,Al Habib,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"🖐️🖐️🖐️🖐️🖐️🖐️🖐️🖐️🖐️🖐️🖐️🖐️ ,👎👎👎👎👎👎👎👎👎👎👎👎 لعنت ہو بینک الحبیب تمہاری ایپ پر، کسٹمرز کی سیفٹی کی آڑ میں کسٹمرز کو ازیت دینے کی پالیسی پر عمل پیرا ہو جیسے ہی میں پاکستان سے باہر أیا ایپ بند کردی، منافقوں کو پتہ چل گیا کہ میں پاکستان میں نہیں اور ان کا کچھ نہیں کرسکتا کیسے ملعون ہو کہ تم نے اپنے کسٹمرز کو تکلیف دینے کے نت نئے طریقے لاگو کرتے ہو۔ حالانکہ اسٹیٹ بینک آف پاکستان کی طرف سے اتنی سختی نہیں میرے پاس یورپین بینک ایپس بھی ہیں مگر الحبیب بینک والوں کی ایپ بہت گھٹیا ہے",Al Habib,['NULL'],['NULL'],['negative'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Very very worst app,Al Habib,['app'],['worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
App is not working in my mobile after update. Solve its issue,Al Habib,['App'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"One of the worst banking app, I am unable to signup. I am entering my email and it shows that the email is incorrect, I have even confirmed my email through branch and it's the same but app shows this error. Their customer support is dumb. They don't know how to resolve this issue. Their online bank is so poor",Al Habib,"['banking app', 'customer support']","['worst', 'dumb']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'CUSTOMER_SUPPORT']"
I have good experience.,Al Habib,['experience'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
"The Utmost Worse and Stupid Bank and Staff. It is Highly Shameful people are sitting in the Branches and behave like the Masters No Check and Balance for the Staff at all, also the App is more Disgusting banking app in the World. Big Zero for Staff and App All the thinkable Difficulties for Costumers they Imposed as quickly as Possible Dejected and Hopeless for the future of Bank Alhabib",Al Habib,"['Bank', 'Staff', 'App']","['Utmost Worse', 'Stupid', 'Shameful']","['negative', 'negative', 'negative']","['SUPPORT#GENERAL', 'SERVICE#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'BRANCH_SERVICE', 'APP#FEATURES']"
Pathetic experience...puts a debit hold if you don't update your cnic...and to remove that hold you are destined to get ZALEEL for days.... Agr banking ni hoti to bnd kr den apna bank,Al Habib,['ZALEEL'],['Pathetic'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
This is worst banking service I have ever used. Every time I made remittance and only Bank Al Habib takes 3 to 4 days to credit into account. And worst customer support experience as well I have been waiting for their problem solving response since days and I only keep receiving email that issue has been forwarded to concern department. Very Bad 👎,Al Habib,"['banking service', 'customer support']","['worst', 'worst']","['negative', 'negative']","['SUPPORT#GENERAL', 'SUPPORT#GENERAL']","['CUSTOMER_SUPPORT', 'CUSTOMER_SUPPORT']"
I was very bad ..i gonna change my bank account and this app ..ooofff it creat many problems just,Al Habib,"['bank account', 'app']","['bad', 'creat many problems']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
today I went into an Al Habib ATM to deposit cash in my bank account but there was no deposit option so I came back disappointing. what's the reason behind this. Aren't all Al Habib ATM configured for cash deposit?,Al Habib,['Al Habib ATM'],['disappointing'],['negative'],['SHIPPING#GENERAL'],['DELIVERY_RELATED_FEEDBACK']
Anyone guide me how I can open my current account this app I am facing difficulty,Al Habib,['current account'],['difficulty'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"I always have issues when I use your online banking application. It's too slow and sometimes doesn't work properly, like not opening despite trying again and again. Even now, I was going to send money to someone, and I was having issues, so I had to uninstall it and download it again. I'm sorry to say that I also use the Meezan Bank Application, which is very fast and simple. Your IT professionals must focus on making it better. 👎",Al Habib,"['online banking application', 'meezan Bank Application']","['slow', 'fast']","['negative', 'positive']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
Worst Experiance 😡 when I try to login app show your account is locked. After calling helpline they said your account is unlocked then when I try to login again app show your account is locked,Al Habib,['helpline'],['Worst'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Very bad experience When I check my account there's showing record not found error please resolve this issues.,Al Habib,['account'],['bad experience'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Third class app ever,Al Habib,['app'],['Third class'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Worst app when ever to transfer funds I needed it's server not responding.,Al Habib,"['app', 'server']","['Worst', 'not responding']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SERVICE#GENERAL']","['APP#FEATURES', 'BRANCH_SERVICE']"
It is the worst ever app in mob banking Totally awful,Al Habib,['app'],['worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
This is too much bad bugs app of this bank everytime problem to conacting server,Al Habib,['bugs app'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Vijay Kumar chumrani,Al Habib,['Vijay Kumar chumrani'],['NULL'],['positive'],['RESTAURANT#GENERAL'],['LOCATION_FEEDBACK_MISC']
I just downloaded the app but it's trash. No facilities here even you can't check your current balance. It's digital world now. Bank alhabib please improve your digital app you are a brand,Al Habib,['app'],['trash'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
10 دن هو گئے لیکن میں اس ایپ میں انٹر نہیں ہو پایا یہ سزا ھے کیا ہے اپنی ایج سیٹ کرنے کے لیے بھی stone age کے دور میں جانا پڑتا ھے very hard 😓,Al Habib,['NULL'],['hard'],['negative'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Worst app. Poor performance . login issues . every time it shows device cooling time. No other bank shows this error.,Al Habib,"['app', 'performance', 'login issues', 'device cooling time']","['Worst', 'poor', 'NULL', 'NULL']","['negative', 'negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'OS#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE', 'OS#OPERATION_PERFORMANCE']","['APP#FEATURES', 'SYSTEM#PERFORMANCE', 'APP#PERFORMANCE', 'SYSTEM#PERFORMANCE']"
I am regreting the day when I opened account in Pakistan's most rubbish 3rd class bank. In this net banking era your app doesn't work properly its a humble request please make your app from UBL app developers or Meezan app developers even easypaisa is better than Bank al Habib,Al Habib,"['account', 'app']","['regret', 'NULL']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
"From last few days an error message shown on my mobile screen while opening this application ""Error, coulnd not connect to to the server"" pls solve the issue..",Al Habib,['mobile screen'],['error message'],['negative'],['DISPLAY#OPERATION_PERFORMANCE'],['SCREEN#ISSUES']
dear Al Habib Application team you have no idea how to satisfy yuur customers no body knw how to resolve issues many time i mail i call with attached SS its clear this service only accessed in pakistan why you make foul your Customer 1000 rupees balance is gone only for confirmation Still no confirmation kindly don't call me on my registered pakistani number its on Roming if you have no idea to solve this problem plz don't open any NRP account.,Al Habib,['NULL'],['NULL'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Password reset always problem 😭 please solve this issue,Al Habib,['Password reset'],['problem'],['negative'],['KEYBOARD#OPERATION_PERFORMANCE'],['BIOMETRIC#LOGIN_ISSUES']
I try first time I hope this very well I want to be very well and mother,Al Habib,['NULL'],['well'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Nice and secure app.,Al Habib,['app'],['Nice'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Pathetic application showing error once type user id and password. I reinstalled it on multiple times but issue has occurred.,Al Habib,['application'],['Pathetic'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Tap nad pay is not showing in application i used tap and pay always declined,Al Habib,['Tap nad pay'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
The worst bank in Pakistan,Al Habib,['bank'],['worst'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Not working properly and having no options to understand,Al Habib,['NULL'],['Not working properly'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
Why you have created this app?. It's frustrating as hell. Fingerprint not working. Forgotten my username and pswrd on reset of uname otp recieved but on pass reset app didn't send otp after 10 minutes i recieved otp on applying it says wrong otp and account went on freeze on second day reset my pass and now when i login usings creds it says error and again account went to freeze period. Like how it is helpful? I'm unable to login in either way😤,Al Habib,['app'],['frustrating'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
New expireance wid this bank but exelent,Al Habib,['bank'],['exelent'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Account login nhi ho raha aj Sunday ko,Al Habib,['Account login'],['NULL'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Best bank best app,Al Habib,"['bank', 'app']","['Best', 'best']","['positive', 'positive']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
Biometric system is fail 👎,Al Habib,['Biometric system'],['fail'],['negative'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Rubbish .... It's been a week not able to make an account for net banking,Al Habib,['account for net banking'],['not able to make'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"Apart from BAHL Mobile App, everything else fantastic. Please overhaul your mobile app.",Al Habib,['mobile app'],['fantastic'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Good experience with AL HABIB BANK,Al Habib,['AL HABIB BANK'],['Good experience'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Just an average banking application. Requires a lot of improvement,Al Habib,['banking application'],['average'],['neutral'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Biometric login is not working.,Al Habib,['Biometric login'],['not working'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Good experience every time help full,Al Habib,['experience'],['Good'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Best bank application,Al Habib,['bank application'],['Best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Very slow application,Al Habib,['application'],['slow'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
worst app if you have bank account in bank al habib and creating netbanking account on Al habib mobile and you make any mistake you will never delet your account or Create account again if you are trying to complaint then after months you realized your mistake but the team of Al habib will not respond,Al Habib,['team of Al habib'],['worst'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Ap application is not working there is problem please inform us soon,Al Habib,['Ap application'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Total peace of trash,Al Habib,['trash'],['total peace'],['positive'],['FOOD#QUALITY'],['MISC#APP_FEEDBACK']
Buht he ghatita service hai buht mushkil sai unka system update HOTA hai login problem atm problem 😠,Al Habib,"['service', 'system update']","['NULL', 'NULL']","['negative', 'negative']","['SERVICE#GENERAL', 'SOFTWARE#GENERAL']","['BRANCH_SERVICE', 'APP#FEATURES']"
Yo late message,Al Habib,['message'],['late'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Mazakh banadia banking ka na atm chaltay hain or na app nikal k dikhao paisay.,Al Habib,['Mazakh banadia banking'],['NULL'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Bakwas tareen..ik ghanta account banwaya phir password bhi inki marzi ka laggao bhai grow up yar..ghtya qaum ban k bethy ho har chez mn koi na koi kami hy kahin koi perfction nhn..10 characters 20 symbols what is this yar phir open b nhn hota,Al Habib,['yar phir open b nhn hota'],['NULL'],['negative'],['SOFTWARE#DESIGN_FEATURES'],['APP#DESIGN_FEEDBACK']
Login Biometric not working. It displays black screen with continueously loader in Hot 30 Play. Already tried by clear cache and clear storage. Also done with setting up my device again by resetting the phone but app still not working,Al Habib,"['Login Biometric', 'screen', 'NULL']","['NULL', 'NULL', 'NULL']","['negative', 'negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'DISPLAY#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'SCREEN#ISSUES', 'APP#PERFORMANCE']"
Awesome application and outstanding service,Al Habib,"['application', 'service']","['Awesome', 'outstanding']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SERVICE#GENERAL']","['APP#FEATURES', 'BRANCH_SERVICE']"
Pathetic user experience. The worst decision I ever made was open my account in al Habib. Totally pathetic app . Is always down . Zero customer service .,Al Habib,"['user experience', 'app', 'customer service']","['Pathetic', 'pathetic', 'zero']","['negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'APP#FEATURES', 'CUSTOMER_SUPPORT']"
It is often that the application does not open. And the application is written that the Rooted Device not support,Al Habib,['application'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Safe n secure app,Al Habib,['app'],['Safe n secure'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
They are very far from other banks in mobile banking. Most of the times it never work in android and then they lock the access. They should hire a proper app expert.,Al Habib,"['mobile banking', 'app expert']","['far from other', 'proper']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
"Worst app ever, never shows my current balance and various many more bugs",Al Habib,['app'],['Worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Not Received OTP on the time of Registration worst Experience with BAH Bank as well as App,Al Habib,"['BAH Bank', 'App']","['worst', 'worst']","['negative', 'negative']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
Please update the app its not working icant login since last update whenever i am trying to login an error accord 😔,Al Habib,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Me also using this app I like it very much this ia interested app,Al Habib,['app'],['like'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Biometric issues Again and Again to register the device slow processing,Al Habib,['device'],['slow'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
Good attempt for banking app but take a hint from your other peers. Please add some effort on user friendliness and availability of service,Al Habib,['banking app'],['Good'],['neutral'],['SOFTWARE#GENERAL'],['APP#FEATURES']
To much glitches don't verify I try try again,Al Habib,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Worst bank and worst app. Biometric scanner malfunctions.,Al Habib,"['bank', 'app', 'Biometric scanner']","['Worst', 'worst', 'malfunctions']","['negative', 'negative', 'negative']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES', 'APP#FEATURES']"
Why its not installing stuck on 1%.,Al Habib,['installing'],['NULL'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"I am writing to report an issue with the biometric scanning feature of your mobile banking application. I recently transitioned to a new mobile device and have been experiencing difficulties with the fingerprint recognition system. Despite multiple attempts under various lighting conditions and angles, the system consistently fails to recognize my fingerprints. As I am currently overseas, It's really becoming difficult to cope with this Your IT team's attention to this matter will be very great",Al Habib,"['biometric scanning feature', 'finger recognition system']","['issue', 'fails to recognize']","['negative', 'negative']","['HARDWARE#OPERATION_PERFORMANCE', 'HARDWARE#OPERATION_PERFORMANCE']","['BIOMETRIC#PERFORMANCE', 'BIOMETRIC#PERFORMANCE']"
BAHL mobile app fullfil the needs of everyone but its front surface looks old,Al Habib,"['BAHL mobile app', 'front surface']","['fulfil the needs', 'old']","['positive', 'negative']","['SOFTWARE#GENERAL', 'LAPTOP#DESIGN_FEATURES']","['APP#FEATURES', 'UI_UX#DESIGN']"
Best for any busines man,Al Habib,['NULL'],['Best'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Worst service for the costumer,Al Habib,['service'],['Worst'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Solve my problams,Al Habib,['problams'],['Solve'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Har waqt server down kam k time pe transaction nh hoti,Al Habib,['server'],['NULL'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Slow and statements are hard to read or tally,Al Habib,['statements'],['hard to read'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"Probably the worst app I've used for banking in Pakistan, literally bound by company to use it.",Al Habib,['app'],['worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"Please improve login screen, otherwise a good app",Al Habib,"['login screen', 'app']","['improve', 'good']","['negative', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
میرے پاس یہ ایپ لوگ ان نہیں ھوتی کافی دنوں سے کوشش کر رہا ہوں جب لوگ ان کرتا ہوں Error آتا ہے سمجھ نہیں آتی مسئلہ کیا ہے,Al Habib,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
I am not been able to uninstalled this app from my mobile the uninstalling option is hang up,Al Habib,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
bht hee gandi help line service hay 7 din sa ATM active nai ho rah hay,Al Habib,['help line service'],['NULL'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
